task_code,js_mode,n_success,n_errors,n_fail,n_total,median_ms,mad_ms,min_ms,max_ms,completion_rate,error_rate
T1_filter,off,1,0,0,1,3245,,3245,3245,1.00,0.00
T1_filter,on,4,0,0,4,1866,71,1756,2103,1.00,0.00
T2_edit,off,0,0,1,1,,,,,0.00,0.00
T2_edit,on,4,2,0,6,1450,160,1268,1654,0.67,0.33
T3_add,off,1,0,0,1,3456,,3456,3456,1.00,0.00
T3_add,on,4,1,0,5,595,67,489,712,0.80,0.20
T4_delete,off,1,0,0,1,198,,198,198,1.00,0.00
T4_delete,on,4,0,0,4,208,6,198,223,1.00,0.00
T1_filter,all,5,0,0,5,1899,143,1756,3245,1.00,0.00
T2_edit,all,4,2,1,7,1450,160,1268,1654,0.57,0.33
T3_add,all,5,1,0,6,623,89,489,3456,0.83,0.17
T4_delete,all,5,0,0,5,206,8,198,223,1.00,0.00
